crm_id,first_name,subscription_tier,topics_followed,engagement_score,region,years_subscribed
reader_001,Aarav,premium,"tech,science",92,IN,3
reader_002,Priya,free,"world,culture",45,IN,1
reader_003,Sarah,premium,"business,tech",88,US,5
reader_004,James,free,"sports,world",32,UK,0
reader_005,Yuki,premium,"culture,science",95,JP,2
reader_006,Carlos,free,"world,business",58,MX,1
reader_007,Fatima,premium,"world,culture,science",91,AE,4
reader_008,Wei,free,"tech",67,SG,0
reader_009,Olivia,premium,"culture,business",84,UK,3
reader_010,Rohit,free,"sports,tech",51,IN,1
