## RECSRecommendations Upload File
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.
## RECS
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.source,entity.publishedDate,entity.author,entity.tags,entity.readTime
"bbc-2026-09-09-us-to-ban-imports-of-some-canadian-alcohol-dairy-goods-and-m","US to ban imports of some Canadian alcohol, dairy goods and motorbikes","world","It is the latest strike in a long trade war, and comes after Canadian counter-tariffs on US goods come into force.","https://ichef.bbci.co.uk/ace/branded_news/1200/cpsprodpb/bcae/live/5358e090-ac2f-11f1-b483-f5be285e6b7e.jpg","0","https://chronicle-bice.vercel.app/article/bbc-2026-09-09-us-to-ban-imports-of-some-canadian-alcohol-dairy-goods-and-m","1","0","BBC","2026-09-09","","","4"
"bbc-2026-09-09-family-of-slain-teen-call-for-death-penalty-in-d4vd-trial","Family of slain teen call for death penalty in D4vd trial","world","The parents of Celeste Rivas Hernandez say execution ""would be perfect"" if D4vd is found guilty.","https://ichef.bbci.co.uk/ace/branded_news/1200/cpsprodpb/ba73/live/c09843a0-abc4-11f1-a601-7d96c5d5b6ea.jpg","0","https://chronicle-bice.vercel.app/article/bbc-2026-09-09-family-of-slain-teen-call-for-death-penalty-in-d4vd-trial","1","0","BBC","2026-09-09","","","2"
"bbc-2026-09-09-anthropic-researcher-believes-more-than-10-chance-ai-could-k","Anthropic researcher believes more than 10% chance AI 'could kill all humans'","world","It is the latest in a series of increasing warnings about the safety threat posed by artificial intelligence.","https://ichef.bbci.co.uk/ace/branded_news/1200/cpsprodpb/cace/live/40c59310-ac2a-11f1-9bd9-7b7da208bd5c.jpg","0","https://chronicle-bice.vercel.app/article/bbc-2026-09-09-anthropic-researcher-believes-more-than-10-chance-ai-could-k","1","0","BBC","2026-09-09","","","1"
"theverge-2026-09-09-worried-anthropic-researchers-warn-that-ai-8216-could-kill-a","Worried Anthropic researchers warn that AI &#8216;could kill all humans&#8217;","tech","A senior Anthropic safety researcher has said there is more than a 10 percent chance artificial intelligence ""could kill all humans"" by the end of the decade, just hours after a colleague resigned over fears the AI lab and its rivals are carelessly racing to build ""superhuman systems"" they cannot control.  In a post on X announcing his departure, Jacob Coxon, a researcher who has trained AI system","https://platform.theverge.com/wp-content/uploads/sites/2/2026/09/STK269_ANTHROPIC_2_A-1.jpg?quality=90&strip=all&crop=0,10.732984293194,100,78.534031413613","0","https://chronicle-bice.vercel.app/article/theverge-2026-09-09-worried-anthropic-researchers-warn-that-ai-8216-could-kill-a","1","0","The Verge","2026-09-09","Robert Hart","AI,Anthropic,News,Tech","2"
"bbc-2026-09-09-learner-drivers-still-waiting-20-weeks-to-book-tests","Learner drivers still waiting 20 weeks to book tests","world","The Driver and Vehicle Standards Agency had been given a target to reduce average wait times to seven weeks.","https://ichef.bbci.co.uk/ace/branded_news/1200/cpsprodpb/5e4e/live/014ac6a0-aba4-11f1-8e72-a346833ed029.jpg","0","https://chronicle-bice.vercel.app/article/bbc-2026-09-09-learner-drivers-still-waiting-20-weeks-to-book-tests","1","0","BBC","2026-09-09","","","3"
"bbc-2026-09-09-oil-hits-100-a-barrel-for-first-time-since-july-after-us-and","Oil hits $100 a barrel for first time since July after US and Houthi strikes","world","Brent crude - the global benchmark for prices - rises after the US hit five Iranian tankers on Tuesday","https://ichef.bbci.co.uk/ace/branded_news/1200/cpsprodpb/9436/live/65350fe0-ac30-11f1-b1d1-571ed4d7ff2c.jpg","0","https://chronicle-bice.vercel.app/article/bbc-2026-09-09-oil-hits-100-a-barrel-for-first-time-since-july-after-us-and","1","0","BBC","2026-09-09","","","4"
"bbc-2026-09-09-shelton-beats-alcaraz-in-late-night-epic-to-reach-us-open-se","Shelton beats Alcaraz in late-night epic to reach US Open semis","world","Carlos Alcaraz's US Open title defence is over after a dramatic five-set quarter-final loss to Ben Shelton which ends at 03:34 local time.","https://ichef.bbci.co.uk/ace/branded_sport/1200/cpsprodpb/2cfd/live/de377d00-ac22-11f1-9bd9-7b7da208bd5c.jpg","0","https://chronicle-bice.vercel.app/article/bbc-2026-09-09-shelton-beats-alcaraz-in-late-night-epic-to-reach-us-open-se","1","0","BBC","2026-09-09","","","5"
"bbc-2026-09-09-more-flights-delayed-after-hundreds-cancelled-by-air-traffic","More flights delayed after hundreds cancelled by air traffic control glitch","business","Departures from a number of airports are affected by a technical problem affecting air traffic control provider Nats.","https://ichef.bbci.co.uk/ace/branded_news/1200/cpsprodpb/5822/live/8e4e1760-ac11-11f1-940e-bf738e043799.jpg","0","https://chronicle-bice.vercel.app/article/bbc-2026-09-09-more-flights-delayed-after-hundreds-cancelled-by-air-traffic","1","0","BBC","2026-09-09","","","4"
"bbc-2026-09-09-what-are-my-rights-if-my-flight-is-cancelled-or-delayed","What are my rights if my flight is cancelled or delayed?","world","Flights are cancelled owing to air traffic control problems, so what are your rights if you're affected?","https://ichef.bbci.co.uk/ace/branded_news/1200/cpsprodpb/4a08/live/30e50cb0-ac29-11f1-bc1f-3f186ca4140c.png","0","https://chronicle-bice.vercel.app/article/bbc-2026-09-09-what-are-my-rights-if-my-flight-is-cancelled-or-delayed","1","0","BBC","2026-09-09","","","5"
"bbc-2026-09-09-baby-orangutans-found-in-indian-forest-spark-trafficking-inq","Baby orangutans found in Indian forest spark trafficking inquiry","world","The critically endangered apes were found far from their natural habitat in the eastern Indian state of Odisha.","https://ichef.bbci.co.uk/ace/branded_news/1200/cpsprodpb/2f6a/live/22d80770-ac20-11f1-9bd9-7b7da208bd5c.jpg","0","https://chronicle-bice.vercel.app/article/bbc-2026-09-09-baby-orangutans-found-in-indian-forest-spark-trafficking-inq","1","0","BBC","2026-09-09","","","1"
